Symbol,Name,Open,High,Low,Last,Change_per,Volume,Turnover,Date,1D_return_per,3D_return_per,5D_return_per,10D_return_per,1M_return_per,2M_return_per,3M_return_per,6M_return_per,YTD_return_per,52W_Change_Per,1Y High,Liquidity_Tier,52W_Performance,Short_Term_Return,Short_Term_Segment,Long_Term_Return,Long_Term_Segment,Volume_Log,Turnover_Log,Price_Tier,Total_Return_Performance_Trend,cluster,cluster_label
DIBS.US,1STDIBS.COM INC,4.17,4.44,4.17,4.33,3.84,241000.0,798000.0,Jun 18,3.84,5.87,5.61,2.36,-3.56,-29.59,-21.13,-29.36,-27.71,60.37,6.625,Moderate,Outperformer,2.824,Moderate Growth,-9.483999999999998,Stable,12.392556361841775,13.589865129563991,Low-Priced,Mixed Trend,4,Active Mid-Cap Stocks
DICCF.US,DIC,23.39,23.39,23.39,23.39,0.0,500.0,11695.0,Jun 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.39,Very Less Liquid,Neutral,0.0,Stable,0.0,Stable,6.2166061010848646,9.36700218198956,Mid-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
DIDIY.US,DIDI GLOBAL ADR,3.53,3.56,3.48,3.5,-1.96,9270000.0,32700000.000000004,Jun 18,-1.96,-1.41,-5.66,-2.23,-2.23,-9.79,-15.66,-18.79,-18.79,-18.79,4.51,Highly Liquid,Underperformer,-2.6980000000000004,Moderate Decline,-16.363999999999997,Moderate Decline,16.0422940454169,17.30288566644852,Low-Priced,Strong Negative Trend,4,Active Mid-Cap Stocks
DIFTY.US,DAITO TRUST CONSTRUCTION ADR,4.59,4.69,4.54,4.69,-1.05,334000.0,1550000.0,Jun 18,-1.05,-2.09,-3.5,3.08,-16.25,-15.8,-18.29,-21.04,-21.04,-21.04,6.17,Liquid,Underperformer,-3.962,Moderate Decline,-19.442,Moderate Decline,12.718899265966332,14.253766134056512,Low-Priced,Strong Negative Trend,4,Active Mid-Cap Stocks
DIGI.US,DIGITILITI,0.0001,0.0001,0.0001,0.0001,0.0,500.0,0.05,Jun 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,Very Less Liquid,Neutral,0.0,Stable,0.0,Stable,6.2166061010848646,0.048790164169432,Penny Stock,Strong Negative Trend,0,Dormant Small-Cap Stocks
DIGTF.US,THRUVISION GROUP,0.0095,0.0095,0.0095,0.0095,0.0,300000.0,2850.0,Jun 18,0.0,0.0,0.0,0.0,-3.06,-20.83,-13.64,-13.64,-13.64,-13.64,0.012,Liquid,Neutral,-0.612,Stable,-15.078,Moderate Decline,12.611541086966117,7.955425088912672,Penny Stock,Strong Negative Trend,0,Dormant Small-Cap Stocks
DIIBF.US,DOREL INDUSTRIES,1.08,1.08,1.04,1.05,-4.55,1100.0,1168.75,Jun 18,-4.55,0.0,-2.78,-5.41,-7.08,-16.0,-10.26,-13.93,-13.93,-13.93,1.41,Very Less Liquid,Neutral,-3.964,Moderate Decline,-13.61,Moderate Decline,7.00397413672268,7.064545329746326,Low-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
DIMC.US,DIMECO,55.0,55.0,55.0,55.0,0.0,1300.0,71500.0,Jun 18,0.0,0.97,1.81,4.78,4.29,14.6,15.8,14.6,14.6,14.58,55.0,Very Less Liquid,Neutral,2.37,Moderate Growth,14.836000000000002,Moderate Growth,7.170888478512505,11.177466714598282,High-Priced,Strong Positive Trend,0,Dormant Small-Cap Stocks
DIME.US,COINSHARES ALTCOINS ETF,8.405,8.41,8.2,8.2349,-2.95,970.0,7140.0,Jun 18,-2.95,-6.2,1.66,-5.62,-9.61,-1.72,-7.43,-24.05,-29.3,-67.88,28.1,Very Less Liquid,Crashed,-4.544,Moderate Decline,-26.076,Moderate Decline,6.878326468291325,8.87360810154911,Mid-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
DIN.US,DINE BRANDS GLOBAL INC,33.71,35.1,33.71,34.16,2.09,418000.0,9950000.0,Jun 18,2.09,5.79,-0.5,17.5,14.6,16.5,21.0,-0.99,6.29,27.46,39.68,Liquid,Outperformer,7.895999999999999,Moderate Growth,14.051999999999998,Moderate Growth,12.94323910384853,16.11308320963728,Mid-Priced,Moderate Positive Trend,4,Active Mid-Cap Stocks
DINO.US,HF SINCLAIR CORP,65.78,65.78,63.85,64.5,-2.14,4610000.0,211000000.0,Jun 18,-2.14,-4.09,-7.73,-11.44,-8.25,11.4,7.64,37.7,40.0,55.61,74.725,Highly Liquid,Outperformer,-6.73,Moderate Decline,30.47000000000001,Moderate Growth,15.343738631892547,19.167368696179675,High-Priced,Mixed Trend,4,Active Mid-Cap Stocks
DINRF.US,SCREEN HOLDINGS,66.12,66.12,66.12,66.12,0.0,600.0,39672.0,Jun 18,0.0,0.0,0.0,0.0,2.18,2.18,8.39,-6.97,-6.97,-6.97,71.07,Very Less Liquid,Neutral,0.436,Stable,-2.068,Stable,6.398594934535208,10.588426134546184,High-Priced,Moderate Negative Trend,0,Dormant Small-Cap Stocks
DIOD.US,DIODES INC,113.25,123.5,113.25,119.46,9.8,1570000.0,70700000.0,Jun 18,9.8,5.58,11.8,6.19,26.0,23.6,79.0,135.0,142.0,137.35,123.5,Highly Liquid,High Flyer,11.874,Strong Growth,103.39,Strong Growth,14.266586814266963,18.073956145011078,High-Priced,Strong Positive Trend,4,Active Mid-Cap Stocks
DIPS.US,YIELDMAX SHORT,39.385,39.385,38.77,38.82,-3.75,6740.0,189000.0,Jun 18,-3.75,0.3,-2.73,0.92,1.59,-9.13,-22.63,-28.71,-24.31,-38.16,63.8764,Very Less Liquid,Underperformer,-0.734,Stable,-24.588,Moderate Decline,8.815963560853438,12.149507585033072,Mid-Priced,Moderate Negative Trend,0,Dormant Small-Cap Stocks
DIS.US,WALT DISNEY CO,101.8,104.22,100.8,103.89,3.0,22900000.0,1590000000.0,Jun 18,3.0,2.16,3.54,4.58,-0.02,-2.27,4.5,-7.13,-8.68,-11.85,124.69,Highly Liquid,Neutral,2.652,Moderate Growth,-5.086,Stable,16.94664751219259,21.18699985380748,High-Priced,Mixed Trend,4,Active Mid-Cap Stocks
DIT.US,AMCON DISTRIBUTING CO,68.0,70.45,68.0,70.45,0.82,418.0,14000.0,Jun 18,0.82,0.64,0.64,-3.98,-14.81,-23.11,-10.82,-4.64,-4.47,-0.67,95.59,Very Less Liquid,Neutral,-3.338,Moderate Decline,-8.742,Stable,6.037870919922137,9.546884034617923,High-Priced,Moderate Negative Trend,0,Dormant Small-Cap Stocks
DITTF.US,DAITO TRUST CONSTRUCTION,18.62,18.62,18.62,18.62,0.0,100.0,1862.0,Jun 18,0.0,-2.0,-2.0,-2.0,-20.73,-18.87,-6.53,-8.23,-8.23,-8.23,23.49,Very Less Liquid,Neutral,-5.346,Moderate Decline,-10.018,Moderate Decline,4.61512051684126,7.529943370601589,Mid-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
DIUXF.US,DIACEUTICS,2.0,2.0,2.0,2.0,0.0,3500.0,7000.0,Jun 18,0.0,0.0,0.0,0.0,19.8,19.8,19.8,19.8,19.8,19.76,2.05,Very Less Liquid,Outperformer,3.96,Moderate Growth,19.792,Moderate Growth,8.160803920954665,8.853808274977197,Low-Priced,Mixed Trend,0,Dormant Small-Cap Stocks
DIVE.US,TIDAL TRUST I,25.265,25.2802,25.2199,25.2367,-0.29,2490.0,56000.0,Jun 18,-0.29,-1.99,-1.76,-1.03,-1.58,-0.92,5.03,-1.07,-0.72,0.78,26.76,Very Less Liquid,Neutral,-1.33,Stable,0.6200000000000001,Stable,7.820439515262181,10.933124826700707,Mid-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
DJCO.US,DAILY JOURNAL CORP,540.14,543.63,510.5801,529.04,-1.13,35100.0,3100000.0,Jun 18,-1.13,-4.91,-5.57,0.14,11.0,-3.59,8.82,-0.51,8.56,34.83,674.75,Less Liquid,Outperformer,-0.0939999999999997,Stable,9.622,Stable,10.465984899076616,14.946912992035967,Blue Chip,Mixed Trend,4,Active Mid-Cap Stocks
DJT.US,TRUMP MEDIA & TECHNOLOGY GROUP,8.07,8.56,7.995,8.49,4.81,6030000.0,26900000.0,Jun 18,4.81,0.59,2.91,-3.52,2.66,-16.76,-7.01,-42.87,-35.88,-54.28,20.92,Highly Liquid,Crashed,1.4899999999999998,Stable,-31.360000000000003,Strong Decline,15.612257734540831,17.10763688174679,Mid-Priced,Mixed Trend,4,Active Mid-Cap Stocks
DJTWW.US,TRUMP MEDIA & TECHNOLOGY GROUP,3.5,3.65,3.5,3.615,1.83,32400.0,104000.0,Jun 18,1.83,-2.3,-2.56,-13.93,-9.85,-24.21,-23.89,-52.56,-48.43,-69.21,12.35,Less Liquid,Crashed,-5.362,Moderate Decline,-43.66,Strong Decline,10.385944565501662,11.552155793461898,Low-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
DK.US,DELEK US HOLDINGS INC,41.7,42.34,41.2565,41.47,-2.05,2450000.0,80000000.0,Jun 18,-2.05,-7.29,-11.9,-13.01,-8.68,9.13,-8.68,35.0,39.8,94.24,50.325,Highly Liquid,Outperformer,-8.586,Moderate Decline,33.898,Moderate Growth,14.711598990684092,18.197537205138158,Mid-Priced,Moderate Negative Trend,4,Active Mid-Cap Stocks
DKDRF.US,NEWMED ENERGY,5.686,5.686,5.686,5.686,0.0,1000.0,5686.0,Jun 18,0.0,0.0,0.0,1.26,-5.23,-10.03,-10.46,-20.59,-20.59,-20.59,7.16,Very Less Liquid,Underperformer,-0.7940000000000002,Stable,-16.452,Moderate Decline,6.90875477931522,8.645938147306799,Mid-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
DKGH.US,DKG CAPITAL,0.0002,0.0002,0.0002,0.0002,0.0,20000.0,4.0,Jun 18,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0002,Less Liquid,Outperformer,20.0,Strong Growth,100.0,Strong Growth,9.90353755128617,1.6094379124341005,Penny Stock,Mixed Trend,0,Dormant Small-Cap Stocks
DKI.US,DARKIRIS INC,5.16,5.2,5.0293,5.1,-2.39,22600.0,75800.0,Jun 18,-2.39,-5.03,-10.05,-13.41,-13.41,-31.92,-16.12,-15.67,0.87,-94.18,240.0,Less Liquid,Crashed,-8.858,Moderate Decline,-31.404000000000003,Strong Decline,10.025749432069084,11.235866764155578,Mid-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
DKILF.US,DAIKIN INDUSTRIES,155.77,156.089,143.4,149.649,1.6,200.0,30245.4,Jun 18,1.6,1.14,-0.93,-3.97,-1.59,8.12,21.8,16.6,16.6,16.65,169.56,Very Less Liquid,Neutral,-0.75,Stable,15.954000000000002,Moderate Growth,5.303304908059076,10.31713244811248,High-Priced,Moderate Positive Trend,0,Dormant Small-Cap Stocks
DKILY.US,DAIKIN INDUSTRIES ADR,14.87,14.88,14.77,14.81,0.82,175000.0,2590000.0,Jun 18,0.82,2.14,1.23,-0.8,-2.89,5.33,23.0,21.9,21.9,21.89,16.43,Moderate,Outperformer,0.0999999999999999,Stable,18.804,Moderate Growth,12.07254696717504,14.767168819776032,Mid-Priced,Moderate Positive Trend,4,Active Mid-Cap Stocks
DKL.US,DELEK LOGISTICS PARTNERS LP,49.17,50.41,47.46,50.41,2.61,953000.0,26000000.0,Jun 18,2.61,1.8,-6.32,-3.67,-3.36,0.68,-5.95,14.4,13.0,17.51,55.89,Liquid,Outperformer,-1.7879999999999998,Stable,7.928,Stable,13.767371231953732,17.073607134447293,High-Priced,Mixed Trend,4,Active Mid-Cap Stocks
DKLRF.US,DECKLAR RESOURCES,0.0011,0.0011,0.0011,0.0011,0.0,25800.0,28.380000000000003,Jun 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,Less Liquid,Neutral,0.0,Stable,0.0,Stable,10.158168529848494,3.380314170745731,Penny Stock,Strong Negative Trend,0,Dormant Small-Cap Stocks
DKNG.US,DRAFTKINGS INC,26.14,26.6,25.43,26.39,0.27,15000000.0,250000000.0,Jun 18,0.27,-8.34,-12.09,4.02,2.37,15.3,4.39,-22.81,-23.42,-33.36,48.78,Highly Liquid,Underperformer,-2.754,Moderate Decline,-11.98,Moderate Decline,16.52356082573315,19.33697147982652,Mid-Priced,Mixed Trend,4,Active Mid-Cap Stocks
DKS.US,DICK'S SPORTING GOODS INC,228.9,234.78,226.96,232.96,3.62,1390000.0,218000000.0,Jun 18,3.62,5.87,4.02,7.06,10.7,1.01,22.5,10.9,17.7,33.71,237.75,Highly Liquid,Outperformer,6.254,Moderate Growth,17.163999999999998,Moderate Growth,14.144815024531075,19.20000562534052,Blue Chip,Strong Positive Trend,4,Active Mid-Cap Stocks
DLAKY.US,LUFTHANSA ADR,10.42,10.5,10.42,10.44,3.06,183000.0,1910000.0,Jun 18,3.06,2.45,8.52,6.42,13.7,13.6,16.0,13.7,13.7,13.73,10.5,Moderate,Neutral,6.83,Moderate Growth,14.146,Moderate Growth,12.117246896289505,14.462614323582883,Mid-Priced,Strong Positive Trend,4,Active Mid-Cap Stocks
DLAPQ.US,DELTA APPAREL,0.0001,0.0001,0.0001,0.0001,0.0,276.0,0.0276,Jun 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,Very Less Liquid,Neutral,0.0,Stable,0.0,Stable,5.6240175061873385,0.0272259862535914,Penny Stock,Strong Negative Trend,0,Dormant Small-Cap Stocks
DLB.US,DOLBY LABORATORIES INC,51.25,52.385,50.73,52.33,2.15,2270000.0,93700000.0,Jun 18,2.15,-2.08,-0.76,-3.16,-3.75,-19.21,-13.97,-21.61,-18.51,-28.65,77.0,Highly Liquid,Underperformer,-1.52,Stable,-20.39,Moderate Decline,14.635290829986122,18.355608757881008,High-Priced,Strong Negative Trend,4,Active Mid-Cap Stocks
DLEGF.US,DELTA ELECTRONICS THAILAND PUBLIC,10.925,10.942,10.92,10.942,4.21,304.0,3323.404,Jun 18,4.21,1.31,1.31,1.79,16.8,9.42,30.0,30.3,30.3,30.26,11.65,Very Less Liquid,Outperformer,5.0840000000000005,Moderate Growth,26.056,Moderate Growth,5.720311776607412,8.109045688902789,Mid-Priced,Strong Positive Trend,0,Dormant Small-Cap Stocks
DLEXY.US,DATALEX ADR,1.55,1.55,1.55,1.55,0.0,238.0,368.9,Jun 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,Very Less Liquid,Neutral,0.0,Stable,0.0,Stable,5.476463551931511,5.913232698838408,Low-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
DLGCF.US,DATALOGIC,6.9,6.9,6.9,6.9,0.0,500.0,3450.0,Jun 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,Very Less Liquid,Neutral,0.0,Stable,0.0,Stable,6.2166061010848646,8.146419323098003,Mid-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
DLGEF.US,DIGITAL GARAGE,17.54,17.54,17.54,17.54,0.0,1000.0,17540.0,Jun 18,0.0,0.0,0.0,0.0,0.0,0.0,26.4,1.33,1.33,1.33,29.93,Very Less Liquid,Neutral,0.0,Stable,6.077999999999999,Stable,6.90875477931522,9.77229627684378,Mid-Priced,Moderate Negative Trend,0,Dormant Small-Cap Stocks
DLHC.US,DLH HOLDINGS CORP,5.51,5.51,5.44,5.44,-1.09,14700.0,56100.0,Jun 18,-1.09,-1.45,-1.45,-3.55,-1.09,-14.06,-9.63,-2.16,-3.72,-0.55,8.1,Less Liquid,Neutral,-1.7260000000000002,Stable,-6.024,Stable,9.595670797663969,10.93490891666386,Mid-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
DLICY.US,DAI ICHI LIFE HOLDINGS DEPOSITARY RECEIPT,22.862,23.31,22.64,22.7,0.98,33700.0,765000.0,Jun 18,0.98,2.85,3.18,9.08,10.4,22.4,26.9,19.3,19.3,19.35,23.31,Less Liquid,Outperformer,5.298,Moderate Growth,21.45,Moderate Growth,10.425282789490703,13.54763241999736,Mid-Priced,Strong Positive Trend,4,Active Mid-Cap Stocks
DLKGF.US,DELEK GROUP,300.959,300.959,300.959,300.959,0.0,13.0,3912.467,Jun 18,0.0,0.0,0.0,0.0,-8.45,-12.61,-21.07,-21.07,-21.07,-21.07,381.31,Very Less Liquid,Underperformer,-1.69,Stable,-19.378,Moderate Decline,2.6390573296152584,8.272178960859781,Blue Chip,Strong Negative Trend,0,Dormant Small-Cap Stocks
