Symbol,Name,Open,High,Low,Last,Change_per,Volume,Turnover,Date,1D_return_per,3D_return_per,5D_return_per,10D_return_per,1M_return_per,2M_return_per,3M_return_per,6M_return_per,YTD_return_per,52W_Change_Per,1Y High,Liquidity_Tier,52W_Performance,Short_Term_Return,Short_Term_Segment,Long_Term_Return,Long_Term_Segment,Volume_Log,Turnover_Log,Price_Tier,Total_Return_Performance_Trend,cluster,cluster_label
A.US,AGILENT TECHNOLOGIES INC,125.56,127.56,125.165,127.06,2.2,4330000.0,346000000.0,Jun 18,2.2,-2.7,-1.92,-8.17,13.3,5.04,14.0,-7.19,-6.62,9.99,160.27,Highly Liquid,Neutral,0.5420000000000001,Stable,3.044,Stable,15.281078330925528,19.661949335912173,High-Priced,Mixed Trend,4,Active Mid-Cap Stocks
AA.US,ALCOA CORP,61.2,61.78,58.985,59.37,-3.82,6950000.0,314000000.0,Jun 18,-3.82,-7.47,-13.93,-23.9,-5.14,-10.76,-7.57,23.2,11.7,109.42,84.38,Highly Liquid,High Flyer,-10.852,Strong Decline,25.198,Moderate Growth,15.754252361425856,19.56490354705724,High-Priced,Moderate Negative Trend,4,Active Mid-Cap Stocks
AABB.US,ASIA BROADBAND,0.0134,0.0136,0.0127,0.0132,-1.49,6020000.0,77200.0,Jun 18,-1.49,1.54,-6.71,-11.41,-3.86,-5.04,-12.87,-14.12,-14.12,-14.12,0.01775,Highly Liquid,Neutral,-4.386,Moderate Decline,-12.053999999999998,Moderate Decline,15.610597983397946,11.25416768929685,Penny Stock,Strong Negative Trend,4,Active Mid-Cap Stocks
AABVF.US,ABERDEEN INT,0.02,0.02,0.02,0.02,0.0,47500.0,950.0,Jun 18,0.0,0.0,0.0,0.0,0.0,-33.33,-6.98,-33.33,-33.33,-33.33,0.03,Less Liquid,Underperformer,0.0,Stable,-28.06,Moderate Decline,10.768506042432708,6.85751406254539,Penny Stock,Strong Negative Trend,0,Dormant Small-Cap Stocks
AACAY.US,AAC TECHNOLOGIES HOLDINGS ADR,6.19,6.2,6.16,6.19,2.15,9900.0,61300.0,Jun 18,2.15,6.91,13.0,2.48,14.6,30.0,51.7,51.3,51.3,51.34,6.35,Very Less Liquid,Outperformer,7.828,Moderate Growth,47.128,Moderate Growth,9.200391041122517,11.023551435004949,Mid-Priced,Strong Positive Trend,4,Active Mid-Cap Stocks
AACG.US,ATA CREATIVITY GLOBAL,0.92,1.0791,0.92,1.0791,7.91,35800.0,17900.0,Jun 18,7.91,6.84,13.6,-1.0,-7.77,-0.08,7.92,30.8,36.5,31.6,2.5794,Less Liquid,Outperformer,3.916,Moderate Growth,21.348000000000003,Moderate Growth,10.485731104959568,9.792611856190192,Low-Priced,Moderate Positive Trend,0,Dormant Small-Cap Stocks
AACOU.US,ABONY ACQUISITION I,10.03,10.26,10.01,10.01,-0.1,2150.0,21100.0,Jun 18,-0.1,-0.1,-0.89,-0.2,-0.3,0.35,0.7,0.4,0.4,0.4,11.23,Very Less Liquid,Neutral,-0.318,Stable,0.4499999999999999,Stable,7.67368812926773,9.957075711706056,Mid-Priced,Mixed Trend,0,Dormant Small-Cap Stocks
AADX.US,APPLIED AEROSPACE,20.29,20.65,18.49,18.82,-6.97,1410000.0,22400000.0,Jun 18,-6.97,-4.85,-14.8,1.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,Highly Liquid,Neutral,-5.288,Moderate Decline,-1.0,Stable,14.159100971573958,16.924571561468124,Mid-Priced,Strong Negative Trend,4,Active Mid-Cap Stocks
AAGAF.US,SILVER47 EXPLORATION,0.475,0.475,0.3831,0.39,-10.16,719000.0,288000.0,Jun 18,-10.16,-13.33,-7.5,-14.68,-24.71,-28.18,-20.76,-35.1,-35.1,-35.1,0.6469,Liquid,Underperformer,-14.076,Strong Decline,-30.847999999999995,Strong Decline,13.4856180275228,12.570719231334277,Penny Stock,Strong Negative Trend,4,Active Mid-Cap Stocks
AAGC.US,ALL AMERICAN GOLD,0.00055,0.00055,0.0005,0.0005,0.0,4060000.0,2131.5,Jun 18,0.0,0.0,-16.67,-23.08,-16.67,-33.33,-28.57,-44.44,-44.44,-44.44,0.001,Highly Liquid,Underperformer,-11.284,Strong Decline,-39.044,Strong Decline,15.216693777883304,7.665050279365834,Penny Stock,Strong Negative Trend,4,Active Mid-Cap Stocks
AAGFF.US,AFTERMATH SILVER,0.524,0.539,0.484,0.493,-8.19,641000.0,318000.0,Jun 18,-8.19,-11.44,-6.98,-10.53,-10.36,-22.48,-12.59,-28.24,-28.24,-28.24,0.82,Liquid,Underperformer,-9.5,Moderate Decline,-23.958,Moderate Decline,13.370786295963992,12.669809806411456,Penny Stock,Strong Negative Trend,4,Active Mid-Cap Stocks
AAGH.US,AMERICA GREAT HEALTH,0.0002,0.0002,0.0002,0.0002,0.0,250.0,0.05,Jun 18,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0003,Very Less Liquid,Outperformer,40.0,Strong Growth,100.0,Strong Growth,5.525452939131784,0.048790164169432,Penny Stock,Moderate Positive Trend,3,High Momentum Growth Stocks
AAGIY.US,AIA GROUP ADR,37.47,37.67,37.37,37.49,-0.72,756000.0,28400000.0,Jun 18,-0.72,-3.6,-1.39,-4.41,-15.56,-12.83,-10.67,-11.41,-11.41,-11.41,46.0,Liquid,Neutral,-5.136,Moderate Decline,-11.545999999999998,Moderate Decline,13.535797977912118,17.1618997383427,Mid-Priced,Strong Negative Trend,4,Active Mid-Cap Stocks
AAGR.US,AFRICAN AGRICULTURE HOLDINGS,0.01,0.01,0.01,0.01,9900.0,100.0,1.0,Jun 18,9.9,0.0,0.0,9.9,900.0,127.0,1.01,1.01,1.01,1.01,0.0165,Very Less Liquid,Neutral,183.96,Strong Growth,26.20799999999999,Moderate Growth,4.61512051684126,0.6931471805599453,Penny Stock,Moderate Positive Trend,5,Sub-Penny Anomaly
AAGRY.US,ASTRA AGRO LESTARI TBK ADR,2.3,2.3,2.3,2.3,0.0,100.0,230.0,Jun 18,0.0,0.0,0.0,0.0,0.0,17.9,17.9,4.55,4.55,4.55,2.3,Very Less Liquid,Neutral,0.0,Stable,9.889999999999995,Stable,4.61512051684126,5.442417710521793,Low-Priced,Mixed Trend,0,Dormant Small-Cap Stocks
AAIIQ.US,ALABAMA AIRCRAFT INDUSTRIES,0.0001,0.0001,0.0001,0.0001,0.0,11800.0,1.1800000000000002,Jun 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,Less Liquid,Neutral,0.0,Stable,0.0,Stable,9.375939552625749,0.7793248768009977,Penny Stock,Strong Negative Trend,0,Dormant Small-Cap Stocks
AAIRF.US,AMERICAN AIRES,0.06,0.06,0.06,0.06,42.86,199.0,11.94,Jun 18,42.9,-25.0,-30.64,29.4,92.1,117.0,63.0,77.0,77.0,76.99,0.0901,Very Less Liquid,Outperformer,21.752,Strong Growth,82.19800000000001,Strong Growth,5.298317366548036,2.5603232890727545,Penny Stock,Moderate Positive Trend,0,Dormant Small-Cap Stocks
AAL.US,AMERICAN AIRLINES GROUP INC,15.85,16.07,15.765,15.99,3.7,126000000.0,1870000000.0,Jun 18,3.7,3.43,9.15,20.2,29.4,30.6,48.1,2.43,4.31,51.13,16.5,Highly Liquid,Outperformer,13.175999999999998,Strong Growth,27.314000000000004,Moderate Growth,18.65179247285226,21.349204268347663,Mid-Priced,Strong Positive Trend,4,Active Mid-Cap Stocks
AAME.US,ATLANTIC AMERICAN CORP,1.75,1.87,1.75,1.87,5.65,28100.0,11300.0,Jun 18,5.65,3.89,5.06,0.54,-15.0,-23.05,-28.9,-23.67,-33.92,0.0,3.71,Less Liquid,Neutral,0.0280000000000001,Stable,-21.908,Moderate Decline,10.24356044187724,9.332646496360152,Low-Priced,Mixed Trend,0,Dormant Small-Cap Stocks
AAMI.US,ACADIAN ASSET MANAGEMENT INC,75.88,76.135,69.52,75.15,-9.15,3000000.0,174000000.0,Jun 18,-9.15,-6.73,-3.28,-0.88,8.38,12.7,49.7,57.7,59.9,139.03,85.73,Highly Liquid,High Flyer,-2.332,Moderate Decline,63.806,Strong Growth,14.914123179965662,18.974565862925928,High-Priced,Mixed Trend,4,Active Mid-Cap Stocks
AAMMF.US,ALMADEX MINERALS,0.33,0.3397,0.2745,0.275,-5.17,61900.0,18867.12,Jun 18,-5.17,-8.33,-12.7,-25.68,-31.25,-19.12,-30.73,-37.5,-37.5,-37.5,0.54,Moderate,Underperformer,-16.625999999999998,Strong Decline,-32.47,Strong Decline,11.033291613631048,9.845229004358488,Penny Stock,Strong Negative Trend,0,Dormant Small-Cap Stocks
AAMTF.US,ARMADA MERCANTILE,0.25,0.25,0.25,0.25,0.0,7500.0,1875.0,Jun 18,0.0,0.0,0.0,0.0,-3.85,66.7,4.17,4.17,4.17,4.17,0.26,Very Less Liquid,Neutral,-0.77,Stable,16.676000000000002,Moderate Growth,8.922791623969637,7.53689712956617,Penny Stock,Mixed Trend,0,Dormant Small-Cap Stocks
AANNF.US,AROUNDTOWN,2.79,2.79,2.79,2.79,0.0,2000.0,5580.0,Jun 18,0.0,0.0,0.0,0.0,-2.96,7.12,5.1,-20.43,-20.43,-20.43,3.5,Very Less Liquid,Underperformer,-0.592,Stable,-9.814,Stable,7.601402334583733,8.627123250788433,Low-Priced,Moderate Negative Trend,0,Dormant Small-Cap Stocks
AAOI.US,APPLIED OPTOELECTRONICS INC,174.65,174.76,158.04,161.85,-3.28,16700000.0,1820000000.0,Jun 18,-3.28,-15.51,-6.33,-20.23,-6.59,-0.99,74.7,453.0,364.0,718.66,233.67,Highly Liquid,High Flyer,-10.388,Strong Decline,321.874,Strong Growth,16.630919337267223,21.322102338584564,High-Priced,Moderate Negative Trend,3,High Momentum Growth Stocks
AAON.US,AAON INC,138.35,139.45,134.29,136.72,2.52,1320000.0,131000000.0,Jun 18,2.52,4.16,6.28,-4.82,2.08,39.7,74.1,83.2,79.3,90.47,150.4599,Highly Liquid,Outperformer,2.044,Moderate Growth,73.354,Strong Growth,14.093143052138023,18.69070788879901,High-Priced,Strong Positive Trend,4,Active Mid-Cap Stocks
AAP.US,ADVANCE AUTO PARTS INC,58.38,61.55,58.3,60.1,3.44,2160000.0,96000000.0,Jun 18,3.44,-1.54,-0.86,7.53,18.8,4.94,21.8,45.7,52.9,23.79,70.0,Highly Liquid,Outperformer,5.474,Moderate Growth,29.826,Moderate Growth,14.585619242623205,18.379858759848776,High-Priced,Moderate Positive Trend,4,Active Mid-Cap Stocks
AAPG.US,ASCENTAGE PHARMA GROUP INT,17.395,17.69,17.12,17.12,0.18,12800.0,123000.0,Jun 18,0.18,-1.27,0.06,-6.35,-7.76,-35.05,-28.81,-40.27,-34.76,-52.29,48.45,Less Liquid,Crashed,-3.028,Moderate Decline,-38.236,Strong Decline,9.45727857185611,11.719947764402807,Mid-Priced,Moderate Negative Trend,0,Dormant Small-Cap Stocks
AAPJ.US,AAP,0.0001,0.0001,0.0001,0.0001,0.0,530000.0,53.0,Jun 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,Liquid,Neutral,0.0,Stable,0.0,Stable,13.180634172318978,3.9889840465642745,Penny Stock,Strong Negative Trend,0,Dormant Small-Cap Stocks
AAPL.US,APPLE INC,298.11,300.57,295.62,298.01,0.7,86000000.0,9380000000.0,Jun 18,0.7,0.54,0.81,-4.25,0.06,9.14,19.2,9.59,9.72,52.06,317.4,Highly Liquid,Outperformer,-0.428,Stable,19.942,Moderate Growth,18.26985786584569,22.961845600071157,Blue Chip,Strong Positive Trend,4,Active Mid-Cap Stocks
AAPW.US,ROUNDHILL AAPL WEEKLYPAY ETF,39.29,39.29,38.705,39.01,0.91,10200.0,325000.0,Jun 18,0.91,0.86,0.59,-6.16,-2.62,5.72,14.0,-4.48,-3.53,13.12,44.6537,Less Liquid,Neutral,-1.284,Stable,4.965999999999999,Stable,9.23024103368252,12.691583538230216,Mid-Priced,Mixed Trend,4,Active Mid-Cap Stocks
AAQL.US,ANTIAGING QUANTUM LIVING,0.66845,0.66845,0.66845,0.66845,0.0,100.0,66.845,Jun 18,0.0,0.0,0.0,10.7,7.81,7.81,7.81,11.4,11.4,11.41,0.9,Very Less Liquid,Neutral,3.702,Moderate Growth,9.966,Stable,4.61512051684126,4.217225691597916,Penny Stock,Moderate Positive Trend,0,Dormant Small-Cap Stocks
AARD.US,AARDVARK THERAPEUTICS INC,3.9,3.98,3.71,3.93,2.88,153000.0,384000.0,Jun 18,2.88,2.34,7.97,-0.25,-9.86,-30.44,-19.47,-71.29,-70.06,-67.47,17.94,Moderate,Crashed,0.616,Stable,-51.746,Strong Decline,11.938199736300923,12.85840043573314,Low-Priced,Moderate Negative Trend,4,Active Mid-Cap Stocks
AARTY.US,AIRTEL AFRICA ADR,49.849,49.849,49.849,49.849,0.0,500.0,24924.5,Jun 18,0.0,-0.0,-0.0,2.25,16.3,13.8,147.0,147.0,147.0,147.39,52.2,Very Less Liquid,High Flyer,3.71,Moderate Growth,120.43800000000002,Strong Growth,6.2166061010848646,10.123646654809376,Mid-Priced,Moderate Positive Trend,0,Dormant Small-Cap Stocks
AASLF.US,ASIA AIR SURVEY,7.41,7.41,7.41,7.41,0.0,5.0,37.05,Jun 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,Very Less Liquid,Neutral,0.0,Stable,0.0,Stable,1.791759469228055,3.638901084307695,Mid-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
AASP.US,GLOBAL ACQUISITIONS,6.4,6.4,6.4,6.4,16.36,602.0,3852.8,Jun 18,16.4,1.59,2.4,-8.57,16.4,43.8,34.7,37.0,37.0,37.04,7.01,Very Less Liquid,Outperformer,5.643999999999999,Moderate Growth,37.908,Moderate Growth,6.401917196727186,8.256814953491801,Mid-Priced,Strong Positive Trend,0,Dormant Small-Cap Stocks
AASZF.US,ATLANTIC SAPPHIRE ASA,0.09065,0.09065,0.09065,0.09065,0.0,25000.0,2266.25,Jun 18,0.0,0.0,0.0,41.4,-61.27,-73.36,-69.78,-82.23,-82.23,-82.23,0.51,Less Liquid,Crashed,-3.974000000000001,Moderate Decline,-77.96600000000001,Strong Decline,10.12667110305036,7.726322922327677,Penny Stock,Strong Negative Trend,0,Dormant Small-Cap Stocks
AAT.US,AMERICAN ASSETS TRUST INC,24.0,24.15,23.89,24.05,0.84,940000.0,18300000.0,Jun 18,0.84,-0.95,-1.72,0.8,14.2,15.5,27.0,26.5,27.0,18.3,24.85,Liquid,Outperformer,2.634,Moderate Growth,22.86,Moderate Growth,13.753636218075409,16.722411672456456,Mid-Priced,Moderate Positive Trend,4,Active Mid-Cap Stocks
AATV.US,ADAPTIVE AD SYSTEMS,0.11,0.11,0.11,0.11,0.0,5000.0,550.0,Jun 18,0.0,0.0,0.0,0.0,0.0,10.0,-15.38,0.0,0.0,0.0,0.13,Very Less Liquid,Neutral,0.0,Stable,-1.076,Stable,8.517393171418904,6.311734809152915,Penny Stock,Strong Negative Trend,0,Dormant Small-Cap Stocks
AAUAF.US,ALMADEN MINERALS,0.17,0.18,0.17,0.18,5.88,14800.0,2670.0,Jun 18,5.88,0.0,5.88,-18.18,-5.26,12.5,5.88,-18.18,-18.18,-18.18,0.26,Less Liquid,Underperformer,-2.336,Moderate Decline,-7.231999999999999,Stable,9.60245002503719,7.890208213109961,Penny Stock,Mixed Trend,0,Dormant Small-Cap Stocks
AAUC.US,ALLIED GOLD CORP,25.6,26.28,25.465,25.64,0.23,238000.0,3270000.0,Jun 18,0.23,-2.81,1.95,-2.77,-7.77,-19.67,-17.77,13.1,12.1,85.8,32.2,Moderate,Outperformer,-2.234,Moderate Decline,14.712,Moderate Growth,12.380030154325455,15.000300848683787,Mid-Priced,Mixed Trend,4,Active Mid-Cap Stocks
AAUGF.US,MANHATTAN URANIUM DISCOVERY,0.325,0.325,0.241,0.241,-3.6,28800.0,8150.400000000001,Jun 18,-3.6,9.45,2.55,0.42,-26.97,-3.75,-19.67,-29.88,-29.88,-29.88,0.383,Less Liquid,Underperformer,-3.63,Moderate Decline,-22.612,Moderate Decline,10.268165387743457,9.005944970623666,Penny Stock,Moderate Negative Trend,0,Dormant Small-Cap Stocks
AAUKF.US,ANGLO AMERICAN,55.08,55.08,55.08,55.08,0.0,100.0,5508.0,Jun 18,0.0,0.0,7.79,0.71,10.2,9.07,26.9,31.1,31.1,31.14,57.0,Very Less Liquid,Outperformer,3.74,Moderate Growth,25.862,Moderate Growth,4.61512051684126,8.614138397472717,High-Priced,Moderate Positive Trend,0,Dormant Small-Cap Stocks
AAVMY.US,ABN AMRO BANK ADR,43.22,43.22,42.9,43.04,1.61,164000.0,7050000.0,Jun 18,1.61,5.61,8.65,9.24,13.6,21.2,36.5,34.5,34.5,34.46,43.22,Moderate,Outperformer,7.742,Moderate Growth,32.232,Moderate Growth,12.00762780434872,15.768538316632412,Mid-Priced,Strong Positive Trend,4,Active Mid-Cap Stocks
AAVVF.US,ADVANTAGE ENERGY,6.9,7.05,6.85,6.96,0.14,286000.0,2000000.0,Jun 18,0.14,0.72,-2.66,-8.06,-5.82,-0.71,-16.45,-11.22,-11.22,-11.22,8.72,Liquid,Neutral,-3.136,Moderate Decline,-10.164,Moderate Decline,12.563750586299374,14.508658238524095,Mid-Priced,Moderate Negative Trend,4,Active Mid-Cap Stocks
AAVXF.US,ABIVAX,101.25,101.25,101.25,101.25,0.0,100.0,10125.0,Jun 18,0.0,0.0,0.0,0.0,-19.64,-19.64,-19.64,-12.45,-12.45,-12.45,126.0,Very Less Liquid,Neutral,-3.928,Moderate Decline,-15.326000000000002,Moderate Decline,4.61512051684126,9.222861652529854,High-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
AAWH.US,ASCEND WELLNESS HOLDINGS,0.5101,0.5101,0.51,0.51,-2.82,3730.0,1900.0,Jun 18,-2.82,-4.49,-3.77,-12.07,-4.67,0.79,0.99,-8.44,-8.44,-8.44,0.63,Very Less Liquid,Neutral,-5.564,Moderate Decline,-4.708,Stable,8.224431573221159,7.550135342488429,Penny Stock,Moderate Negative Trend,0,Dormant Small-Cap Stocks
AAYYY.US,AACL HOLDINGS ADR,8.73,8.73,8.73,8.73,0.0,201.0,1754.73,Jun 18,0.0,0.0,0.0,0.0,-5.11,-9.16,-9.16,-13.99,-13.99,-13.99,10.15,Very Less Liquid,Neutral,-1.022,Stable,-12.058000000000002,Moderate Decline,5.308267697401205,7.470640003830864,Mid-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
AB.US,ALLIANCEBERNSTEIN HOLDING LP,36.29,36.4699,35.75,35.95,-0.58,408000.0,12500000.0,Jun 18,-0.58,-0.22,-1.24,-3.33,-6.4,-7.46,-4.16,-8.34,-6.57,-9.85,44.1099,Liquid,Neutral,-2.354,Moderate Decline,-7.276000000000001,Stable,12.919024904363686,16.341239282272525,Mid-Priced,Strong Negative Trend,4,Active Mid-Cap Stocks
ABANF.US,AUTOMATIC BANK SERVICES,7.9,7.9,7.9,7.9,0.0,50.0,395.0,Jun 18,0.0,0.0,0.0,0.0,16.7,16.7,16.7,16.7,16.7,16.66,7.9,Very Less Liquid,Neutral,3.34,Moderate Growth,16.692,Moderate Growth,3.9318256327243257,5.981414211254481,Mid-Priced,Mixed Trend,0,Dormant Small-Cap Stocks
ABAT.US,AMERICAN BATTERY TECHNOLOGY CO,3.17,3.17,3.02,3.12,0.65,4830000.0,8750000.0,Jun 18,0.65,-7.96,-8.77,-15.9,5.05,-10.09,1.3,-17.24,-6.59,132.84,11.49,Highly Liquid,High Flyer,-5.385999999999999,Moderate Decline,20.044,Moderate Growth,15.390357232668071,15.984564372619506,Low-Priced,Moderate Negative Trend,4,Active Mid-Cap Stocks
ABBB.US,AUBURN BANCORP,9.25,9.25,9.25,9.25,0.0,270.0,2497.5,Jun 18,0.0,0.0,1.09,1.65,-3.14,-3.14,-9.76,-9.76,-9.76,-9.76,10.25,Very Less Liquid,Neutral,-0.0799999999999999,Stable,-8.436,Stable,5.602118820879701,7.82344583078426,Mid-Priced,Moderate Negative Trend,0,Dormant Small-Cap Stocks
ABBNY.US,ABB ADR,108.15,109.0,107.83,108.47,2.68,673000.0,73000000.0,Jun 18,2.68,4.4,3.85,0.98,4.65,13.4,29.1,27.6,27.6,27.64,110.2,Liquid,Outperformer,3.3120000000000003,Moderate Growth,25.068,Moderate Growth,13.419502094509864,18.10597001281129,High-Priced,Strong Positive Trend,4,Active Mid-Cap Stocks
ABBRF.US,ABRASILVER RESOURCE,9.76,12.0,9.432,9.614,-7.82,429000.0,4230000.0,Jun 18,-7.82,-14.56,-8.13,-20.87,-22.53,-18.66,11.5,-7.38,-7.38,-7.38,14.4,Liquid,Neutral,-14.782000000000002,Strong Decline,-5.859999999999999,Stable,12.969214528909768,15.257712787429051,Mid-Priced,Strong Negative Trend,4,Active Mid-Cap Stocks
ABBV.US,ABBVIE INC,221.37,222.35,215.37,216.49,-2.14,9650000.0,1550000000.0,Jun 18,-2.14,-2.3,-3.68,-3.76,3.38,6.27,3.91,-2.84,-5.25,16.71,244.81,Highly Liquid,Neutral,-1.7,Stable,3.76,Stable,16.082468576942105,21.161520768522728,Blue Chip,Moderate Negative Trend,4,Active Mid-Cap Stocks
ABCB.US,AMERIS BANCORP,86.6,87.76,86.3003,87.59,1.84,1380000.0,94900000.0,Jun 18,1.84,-0.3,0.74,2.89,4.77,2.53,18.3,12.5,17.9,44.39,90.0,Highly Liquid,Outperformer,1.988,Stable,19.124,Moderate Growth,14.137594781770806,18.368334274117565,High-Priced,Strong Positive Trend,4,Active Mid-Cap Stocks
ABCCF.US,ABC ARBITRAGE,6.49,6.49,6.49,6.49,0.0,100.0,649.0,Jun 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,Very Less Liquid,Neutral,0.0,Stable,0.0,Stable,4.61512051684126,6.476972362889683,Mid-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
ABCFF.US,ABACUS MINING EXPLORATION,0.02,0.02,0.02,0.02,0.0,8000.0,160.0,Jun 18,0.0,0.0,11.1,0.0,0.0,-10.71,-28.57,-33.33,-33.33,-33.33,0.04,Very Less Liquid,Underperformer,2.22,Moderate Growth,-27.854,Moderate Decline,8.987321812850125,5.081404364984463,Penny Stock,Strong Negative Trend,0,Dormant Small-Cap Stocks
ABCL.US,ABCELLERA BIOLOGICS INC,5.61,5.7399,5.3301,5.53,1.65,6800000.0,33800000.0,Jun 18,1.65,5.13,4.93,-13.19,32.9,41.4,57.1,56.7,61.7,59.37,6.79,Highly Liquid,Outperformer,6.284,Moderate Growth,55.254,Strong Growth,15.732433317205148,17.335971390039045,Mid-Priced,Strong Positive Trend,4,Active Mid-Cap Stocks
ABCP.US,AMBASE,0.28,0.28,0.275,0.276,6.11,1510.0,418.0,Jun 18,6.11,9.96,8.24,10.4,49.2,42.3,81.6,82.8,82.8,82.78,0.326,Very Less Liquid,Outperformer,16.782,Strong Growth,74.45599999999999,Strong Growth,7.32052696227274,6.037870919922137,Penny Stock,Strong Positive Trend,0,Dormant Small-Cap Stocks
ABDBY.US,ALM BRAND ADR,5.0,5.0,5.0,5.0,0.0,100.0,500.0,Jun 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.34,-2.34,-2.34,5.0,Very Less Liquid,Neutral,0.0,Stable,-1.404,Stable,4.61512051684126,6.2166061010848646,Low-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
ABDDF.US,AB DYNAMICS,14.0,14.0,14.0,14.0,0.0,302.0,4228.0,Jun 18,0.0,0.0,0.0,0.0,-16.61,-16.61,-16.61,-16.61,-16.61,-16.61,33.0,Very Less Liquid,Neutral,-3.322,Moderate Decline,-16.61,Moderate Decline,5.713732805509369,8.34972083747249,Mid-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
ABDXF.US,ABINGDON HEALTH,0.14,0.14,0.14,0.14,0.0,15000.0,2100.0,Jun 18,0.0,-22.22,-22.22,-17.65,-29.33,3.7,3.7,3.7,3.7,3.7,0.209,Less Liquid,Neutral,-18.284,Strong Decline,3.7,Stable,9.61587214452889,7.650168700845001,Penny Stock,Mixed Trend,0,Dormant Small-Cap Stocks
ABEO.US,ABEONA THERAPEUTICS INC,5.76,5.855,5.675,5.77,2.12,1110000.0,3200000.0,Jun 18,2.12,1.76,4.34,-0.86,7.45,5.29,26.8,17.3,9.49,-3.83,7.5401,Highly Liquid,Neutral,2.962,Moderate Growth,11.010000000000002,Moderate Growth,13.919871474189012,14.978661680269909,Mid-Priced,Strong Positive Trend,4,Active Mid-Cap Stocks
ABEV.US,AMBEV SA,3.14,3.16,3.1,3.12,-0.64,30500000.0,89000000.0,Jun 18,-0.64,-4.0,-3.11,0.32,-0.64,1.63,10.2,25.8,26.3,29.46,3.4499,Highly Liquid,Outperformer,-1.614,Stable,18.678,Moderate Growth,17.233237274364523,18.30414693893237,Low-Priced,Mixed Trend,4,Active Mid-Cap Stocks
ABFL.US,ABACUS FCF LEADERS ETF,83.62,83.62,83.2287,83.53,1.25,5420.0,378000.0,Jun 18,1.25,-0.27,2.37,-0.55,3.73,8.61,16.9,17.3,17.0,21.62,84.1358,Very Less Liquid,Outperformer,1.3059999999999998,Stable,16.286,Moderate Growth,8.598035579260339,12.84265212010087,High-Priced,Moderate Positive Trend,4,Active Mid-Cap Stocks
ABG.US,ASBURY AUTOMOTIVE GROUP INC,191.23,197.23,189.1303,197.05,3.64,530000.0,79200000.0,Jun 18,3.64,-1.25,-1.22,3.63,11.8,-7.36,4.01,-16.55,-15.26,-16.43,274.5,Liquid,Neutral,3.3200000000000003,Moderate Growth,-10.318,Moderate Decline,13.180634172318978,18.18748686941092,High-Priced,Mixed Trend,4,Active Mid-Cap Stocks
ABGSF.US,ABG SUNDAL COLLIER HOLDING ASA,0.735,0.735,0.735,0.735,0.0,3000.0,2205.0,Jun 18,0.0,0.0,0.0,0.0,0.0,-11.45,-11.95,-11.95,-11.95,-11.95,0.835,Very Less Liquid,Neutral,0.0,Stable,-11.85,Moderate Decline,8.006700845440367,7.698936199813447,Penny Stock,Strong Negative Trend,0,Dormant Small-Cap Stocks
ABHBY.US,ALFEN BEHEER B V ADR,4.915,4.915,4.915,4.915,0.0,1200.0,5898.0,Jun 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.79,-7.79,-7.79,5.33,Very Less Liquid,Neutral,0.0,Stable,-4.674,Stable,7.090909822079984,8.682538124003075,Low-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
ABILF.US,ABILITY,0.0001,0.0001,0.0001,0.0001,0.0,19100.0,1.91,Jun 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,Less Liquid,Neutral,0.0,Stable,0.0,Stable,9.857495968685136,1.0681530811834012,Penny Stock,Strong Negative Trend,0,Dormant Small-Cap Stocks
ABLD.US,ABACUS FCF REAL ASSETS LEADERS,30.2595,30.27,30.2,30.26,-0.2,8310.0,226000.0,Jun 18,-0.2,-1.59,-0.61,-3.02,-3.3,-6.99,-1.87,4.21,4.02,6.27,34.09,Very Less Liquid,Neutral,-1.7439999999999998,Stable,1.128,Stable,9.025335217553026,12.328294703023394,Mid-Priced,Moderate Negative Trend,0,Dormant Small-Cap Stocks
ABLGF.US,ALTEN,63.0,63.0,63.0,63.0,0.0,100.0,6300.0,Jun 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.13,-8.13,-8.13,69.0,Very Less Liquid,Neutral,0.0,Stable,-4.878,Stable,4.61512051684126,8.748463629942055,High-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
